id;name;price;currency;created_at
SKU-1001; shoes ;799;SEK;2024-01-10
SKU-1002;pants;520;SEK;2024/02/15
SKU-1003;shirts;450;SEK;
;jacket;-200; SEK ;2024-13-01
SKU-1005;;;; 
SKU-1006;designer coat;;SEK;2024-05-01
;hat;free;SEK;
SKU-1008; gloves ;120;;2024-06-20
SKU-1009;socks;99;SEK;2024-02-01
SKU-1010;boots;1500;SEK;2024-02-15
SKU-1011;scarf;200;SEK;2024-03-01
SKU-1012;belt;300;SEK;2024/03/10
SKU-1013;cap;75;SEK;2024-04-01
SKU-1014;t-shirt;0;SEK;2024-04-10
SKU-1015;hoodie;-50;SEK;2024-04-15
SKU-1016;coat;2500;SEK;2024-05-01
SKU-1017;jeans;800;SEK;2024-05-05
SKU-1018;sneakers;1200;SEK;2024-05-10
SKU-1019;sandals;400;SEK;2024-05-15
SKU-1020;watch;15000;SEK;2024-06-01
SKU-1021;ring;25000;SEK;2024-06-05
SKU-1022;bracelet;500;SEK;2024-06-10
SKU-1023; necklace ;650;SEK;2024-06-15
SKU-1024;sunglasses;900;SEK;2024-07-01
SKU-1025;backpack;1100;SEK;2024-07-05
SKU-1026;umbrella;300;SEK;2024-07-10
SKU-1027; winter jacket ;3500;SEK;2024-07-15
SKU-1028;shorts;450;SEK;2024-08-01
SKU-1029;skirt;500;SEK;2024-08-05
SKU-1030;gloves;200;SEK;2024-08-10
SKU-1031;mittens;220;SEK;2024-08-15
SKU-1032;suit;5000;SEK;2024-09-01
SKU-1033;tie;150;SEK;2024-09-05
SKU-1034;blazer;2200;SEK;2024-09-10
SKU-1035;polo;600;SEK;2024-09-15
SKU-1036;leggings;350;SEK;2024-10-01
SKU-1037;tracksuit;1200;SEK;2024-10-05
SKU-1038;swimsuit;700;SEK;2024-10-10
SKU-1039;coat;999999;SEK;2024-10-15
SKU-1040;parka;4500;SEK;2024-11-01
SKU-1041;beanie;180;SEK;2024-11-05
SKU-1042;earmuffs;130;SEK;2024-11-10
SKU-1043;cardigan;;SEK;2024-11-15
SKU-1044;vest;800;SEK;2024-12-01
SKU-1045;loafers;1100;SEK;2024-12-05
SKU-1046; sneakers ;1000;SEK;2024-12-10
SKU-1047;heels;1500;SEK;2024-12-15
SKU-1048;flipflops;100;SEK;2024-12-20
SKU-1049;robe;900;SEK;2024-12-25
SKU-1050;pyjamas;600;SEK;2025-01-01
SKU-1051;suspenders;250;SEK;2025-01-05
SKU-1052;coat;not_available;SEK;2025-01-10
SKU-1053;cap;85;SEK;2025-01-15
SKU-1054;;450;SEK;2025-02-01
SKU-1055;scarf;300;;2025-02-05